customer_state,customer_city,total_revenue,unique_customers,revenue_per_customer
MG,Monsenhor Paulo,53.99,1,53.99
PR,Santana Do Itarare,53.9,1,53.9
MS,Angelica,53.9,1,53.9
MG,Cajuri,53.9,1,53.9
SC,Lebon Regis,53.9,1,53.9
GO,Brazabrantes,53.5,2,26.75
RS,Nova Boa Vista,52.9,1,52.9
RS,Gramado Xavier,52.9,1,52.9
RS,Cerro Grande,52.9,1,52.9
MG,Sao Thome Das Letras,52.8,2,26.4
BA,Ibirataia,52.8,2,26.4
MG,Sao Benedito,52.64,1,52.64
SC,Sao Martinho,52.0,1,52.0
SP,Piacatu,51.19,1,51.19
GO,Nova America,51.0,1,51.0
ES,Pacotuba,50.9,1,50.9
RN,Vicosa,50.9,1,50.9
PB,Pedra Lavrada,50.0,1,50.0
RS,Padre Gonzales,50.0,1,50.0
SP,Bandeirantes D'Oeste,49.99,1,49.99
PA,Placas,49.99,1,49.99
MG,Pratapolis,49.99,1,49.99
MG,Serra Do Salitre,49.99,1,49.99
BA,Cocos,49.99,1,49.99
GO,Nova Roma,49.99,1,49.99
GO,Mossamedes,49.99,1,49.99
MG,Amparo Da Serra,49.95,1,49.95
SC,Calmon,49.9,1,49.9
MG,Caparao,49.9,1,49.9
MA,Santa Quiteria Do Maranhao,49.9,1,49.9
ES,Quilometro 14 Do Mutum,49.9,1,49.9
RN,Pedra Preta,49.9,1,49.9
MG,Santana De Pirapama,49.9,1,49.9
RS,Almirante Tamandare Do Sul,49.9,1,49.9
AL,Murici,49.9,1,49.9
AL,Maribondo,49.9,1,49.9
RJ,Pureza,49.9,1,49.9
MG,Miradouro,49.9,1,49.9
MG,Patis,49.9,1,49.9
PR,Ipora,49.9,1,49.9
PR,Guaraquecaba,49.9,1,49.9
RS,Selbach,49.9,1,49.9
